entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
f1704ee1-5e75-5e98-8e8f-dbffb57dcf42					Truman L. Kelley, Richard  Madden, Eric Gardner & Herbert C. Rudman.	Key and directions for scoring--primary II battery, Stanford achievement test, form X.	A730921	1962-08-24	RE595961	1992-11-16	Herbert C. Rudman|A||Eric F. Gardner|A||Fern W. Madden|W||Ray A. Madden|C||Truman L. Kelley|PPW						
4ebf7e52-27bc-6464-66b2-734551c71a5e					John Bart Gerald.	A Thousand thousand mornings; a novel.|Identity	A668721	1964-01-03	RE597382	1992-11-10	John Bart Gerald|A						
4cb2c0d9-7c46-616f-1937-5f74c0b0b60e					Mathemata Anstalt, employer for hire of Paul Gallico.	The day the guinea pig talked.	A682913	1964-04-10	RE697931	1992-12-24	Virginia Gallico|PWH	Pub. abroad|1963-10-28|AI-8699				renewed RE 575-003.	
13f6e94a-0547-33e8-031f-74abfd6075c4					Mathemata Anstalt, employer for hire of Paul Gallico.	The hand of Mary Constable.	A682416	1964-04-03	RE697930	1992-12-24	Virginia Gallico|PWH	Pub. abroad|1963-11-26|AI-8860				et al	
4e30c198-8241-eb8e-cbc5-8a31d8974517						Selected poems of Robert Frost.  Introd.: Robert Graves.	A610162	1963-01-02	RE573953	1992-01-06	Beryl Graves|W						
36d1c900-84eb-7ab0-69a4-4689fa163659						Federal supplement.  Vol. 223, no. 3, Jan. 6, 1964.	B92861	1963-01-06	RE591519	1992-08-10	West Publishing Company|PWH						
ee074e2f-15c4-e2a6-a960-f2da37a10329						The complete tales of Henry James.  Vol. 7: 1888-1891.  Edited, with an introd., by Leon Edel.	A681467|AI8662	1964-02-03|1963-08-28	RE611315	1992-11-30	Leon Edel|A						
1fcbf6a5-565a-7419-1c5a-ae4aa9c10083						The complete tales of Henry James.  Vol. 8: 1891-1892.  Edited, with an introd., by Leon Edel.	A681468|AI8661	1964-02-03|1963-08-28	RE611316	1992-11-30	Leon Edel|A						
9568d433-e441-b311-daee-950e168de52c						House beautiful.  Vol. 105, no. 10, Oct. 1963.	B62916	1963-09-19	RE567694	1992-01-02	Hearst Corporation|PCW						
b2e9c6f9-a1cb-c49f-d3fa-1d723daef478					Poppy Cannon.	The Frozen-foods cookbook.	A725833	1963-09-23	RE589408	1992-07-24	Poppy Cannon|A						
3cc89761-7339-184a-ba31-5d8795e50974						House beautiful.  Vol. 105, no. 11, Nov. 1963.	B68557	1963-10-17	RE567695	1992-01-02	Hearst Corporation|PCW						
cda8385a-6485-0c0a-e609-1cc1ad86b619						House beautiful.  Vol. 105, no. 12, Dec. 1963.	B77766	1963-11-19	RE567696	1992-01-02	Hearst Corporation|PCW						
b03407a9-2b06-1a73-c4af-623abc75ac63					Edith Iglauer.	Conclave at Frobisher; a reporter at large.|The New Yorker magazine, Nov. 23, 1963	B75739	1963-11-21	RE630055	1992-02-04	Edith Iglauer|A						
8af87ff3-1c0d-eac9-e5c2-cbe3884724ed					D. M. Matheson, employee for hire of George Allen & Unwin, Ltd.	Comprendre l'Islam|Understanding Islam.	UCC work	1963-12-12	RE594125	1992-12-04	Frithjof Schuon|PWH						
115bff80-5154-7e0e-d1bc-dd5e0253a616						House beautiful.  Vol. 106, no. 1, Jan. 1964.	B85135	1963-12-19	RE567697	1992-01-02	Hearst Corporation|PCW						
07872945-4fee-e938-dd9b-dc3255dc8bd0						Billboard; music week.  Vol. 76, no. 1, Jan. 4, 1964.	B84582	1963-12-31	RE600120	1992-12-24	BPI Communications|PCW||L.P.|PCW					In notice: 1964	
83251804-c8c3-2b32-7bf5-c2cf9fe76d8b						South Eastern reporter, second series.  Vol. 133, no. 6, Jan. 2, 1964.	B90432	1963-12-31	RE591518	1992-08-10	West Publishing Company|PWH						
